category_fullname,video_url,title,langage,questions,video_type,
empresa,https://www.youtube.com/watch?v=Sym1O7Hqlmg&ab_channel=ValueSchool,"Capitalismo, ahorro y trabajo duro, con Miguel Anxo Bastos – VS Summer Summit",ESP,"¿Qué es el capitalismo? ¿Cuál es el sistema capitalista realmente existente o el “crony capitalism”? ¿Qué es el libre mercado? ¿Qué es el comercio? ¿Había libre comercio en China, Grecia o en el mundo islámico en la antigüedad? ¿Por qué no existía aún el capitalismo en esa época? ¿Por qué no se ahorraba para invertir de forma productiva? ¿En qué se diferencia el capitalismo del libre comercio? ¿Qué hacían los comerciantes antiguos con el dinero ganado? ¿Por qué no se invertía en mejorar el sistema productivo? ¿Hay capitalismo sin ahorro? ¿Requiere el capitalismo de un sistema de valores que restrinja el consumo? ¿Es el consumismo la cosa más anticapitalista que existe? ¿Por qué se dio en Europa el capitalismo y no en otros sitios? ¿Cómo han conseguido su riqueza históricamente la gente adinerada en España? ¿Qué fama tiene el rico en la mentalidad colectiva española? ¿Todos los empresarios que hay en España obtienen sus rentas del capitalismo?",entrevista,
empresa,https://www.youtube.com/watch?v=9lMzuq84IHQ&ab_channel=Plutophrenia,“Free Market Capitalism » is Oxymoronic : The Origin of Capitalism,ENG,"¿Qué diferentes significados tiene la palabra “capitalismo” según quién la utiliza? ¿Cómo han usado el término sus defensores? Por otro lado, ¿A qué se refieren los socialistas cuando lo usan? ¿Cómo opera el capitalismo realmente existente? ¿Cómo operaría el libre mercado anarquista si realmente existiera? ¿Qué fue la acumulación primitiva del capital según Karl Marx? ¿Es el sistema de propiedad actual hijo de la expropiación de tierras eclesiásticas y comunales? ¿En qué situación puso esto al trabajador en el mercado de trabajo? ¿Qué hizo que el empresario en el s. XIX pudiese encontrar a gente dispuesta a trabajar con salarios tan bajos? ¿Qué papel jugó el estado en todo esto? ¿Cómo se conseguía que grandes cantidades de población se trasladaran a trabajar a las colonias europeas? ¿Nace del robo el sistema de propiedad en las colonias europeas? ¿Qué son los cuatro monopolios históricos de la edad de oro definidos por Benjamin Tucker? ¿Qué permitió el monopolio bancario en esa época? ¿Permitió eso innovaciones bancarias como la banca mutua?",presentación,
empresa,https://www.youtube.com/watch?v=RqqKpAl-ciQ&ab_channel=ElGentilhombre,¿Qué es el NEOLIBERALISMO? ¿Existe realmente? - Historia y análisis,ESP,¿Qué es ser neoliberal? ¿Qué es el neoliberalismo? ¿De dónde proviene el término? ¿Se utilizó para darle un nuevo ímpetu a las ideas de la libertad? ¿Para qué se utilizaba el término al finalizar la segunda guerra mundial? ¿Cómo volvió a resurgir en los años 80 y qué significa en el momento actual? ¿Es coherente el término tal y como se usa actualmente? ¿Por qué se puede acabar relacionando al neoliberalismo con cualquier tipo de gobierno? ¿Se están definiendo como neoliberales a posturas o comportamientos que nada tienen que ver con el liberalismo? ¿Por qué se tilda al corporativismo de neoliberal cuando el liberalismo siempre lo ha criticado? ¿Por qué se dice que el neoliberalismo nos ha sometido al consumismo salvaje?,presentación,
empresa,https://www.youtube.com/watch?v=ICWvNf1Ts-g&ab_channel=Jos%C3%A9ManuelGonz%C3%A1lez,,ESP,"¿Qué es el cálculo económico? ¿Qué es la teoría de la cooperación social de Mises? ¿Por qué las valoraciones no pueden medirse? Si no se puede ni medir exactamente ni predecir el valor de las cosas, ¿Por qué la economía está llena de números? ¿Cómo es posible pasar del mundo no medible de las valoraciones subjetivas al mundo de los precios y los cálculos numéricos? ¿Qué instituciones hacen posible este cambio? ¿Qué es el dinero y para qué sirve? ¿Es el dinero una institución social? ¿Qué son los intercambios voluntarios? ¿Qué es el teorema de la imposibilidad del socialismo? ¿Por qué el socialismo impide el cálculo económico? ¿Por qué es un sistema donde los seres humanos actúan a ciegas?",clase teórica,
empresa,https://www.youtube.com/watch?v=SCCuEBHC6wE&ab_channel=NEWMEDIAUFM,¿Por qué en el capitalismo el pez pequeño se come al grande? | Miguel Anxo Bastos,ESP,¿Qué es la concentración del capital como fenómeno marxista? ¿Hay una escala correcta empresarial? ¿Y estatal? ¿Qué relación se produce entre costes de producción y costes de distribución a medida que crece una empresa? ¿En qué punto se compensan estos dos costes? ¿Por qué no saldría a cuenta hacer una sola fábrica de pan para toda España? ¿Hay un punto en que los estados colapsan por exceso de tamaño? ¿Por qué históricamente imperios gigantescos han sido derrotados por pequeños estados? ¿Por qué hay grandes empresas que acaban siendo comidas por empresas pequeñas? ¿Por qué es menos resiliente una empresa que dispone de toda la cadena de producción del producto que vende? ¿Por qué no hay precios entre las transacciones del interior de una empresa? ¿Por qué las grandes empresas duran solo de media 25-30 años? ¿Existirían empresas tan grandes sin las subvenciones estatales? ¿Podrían tener las empresas un tamaño tan grande si no existiera el estado?,conferencia,
empresa,https://www.youtube.com/watch?v=pLIvUxYTz3Y&ab_channel=C4SSFeed44,Economic Calculation in the Corporate Commonwealth,ENG,¿Puede aplicarse el problema del cálculo económico a la gran empresa? ¿Qué dice Murray Rothbard? ¿Qué diferencia hay entre el gobernante socialista y el CEO de una gran empresa? ¿Tienen los dos grandes problemas de información a la hora de tomar decisiones? ¿Están las grandes empresas excluidas del problema de la burocracia? ¿Qué incentivos tiene el directivo de una gran empresa? ¿Le interesa su buen funcionamiento a largo plazo? ¿Qué estrategias se llevan a cabo por ciertos directivos para maximizar los beneficios a corto plazo? ¿Son todas estas patologías empresariales resultado del libre mercado? ¿Existirían en un mercado realmente libre? ¿Promueve el estado las ineficiencias del gran tamaño empresarial?,presentación,
empresa,https://www.youtube.com/watch?v=gcS04BI2sbk&ab_channel=ReinventingOrganizations,Reinventing Organizations,ENG,¿Cómo ha ido cambiando la forma de organizar las empresas a lo largo de la historia? ¿De qué forma operan las grandes multinacionales? ¿Qué viene ahora? ¿Cuál será la forma en que la gente trabajará en el futuro? ¿Por qué es ineficiente la jerarquización dentro de una empresa? ¿Qué actitudes se adoptan bajo una organización jerárquica? ¿Qué ejemplos existen de empresas que funcionan internamente de una forma completamente diferente?,conferencia,
empresa,https://www.youtube.com/watch?v=R3wyzGfywIY&ab_channel=Federaci%C3%B3CooperativesTreballCatalunya,Video formació cooperativa: 2. EL MODEL COOPERATIU,CAT,¿Cuáles son los diferentes tipos de cooperativa que existen? ¿Qué valores hace falta tener dentro de una cooperativa para que se considere parte de la economía social y solidaria? ¿Qué es una cooperativa de trabajo? ¿Qué son las cooperativas de consumo o de usuarios? ¿Qué es una cooperativa de servicios? ¿Y una cooperativa integral? ¿Qué quiere decir que una cooperativa no tiene ánimo de lucro?,presentación,
empresa,https://www.youtube.com/watch?v=papAGxhruVk&ab_channel=VisualEconomik,Por qué las PATENTES son un GRAN PROBLEMA económico - VisualEconomik,ESP,"¿Qué son las patentes? ¿Qué es la propiedad intelectual? Sin patentes, ¿Cómo es posible ganar dinero después de inventar algo? ¿Son necesarias las patentes? ¿Habría innovación sin patentes? ¿Podrían estar poniendo graves problemas económicos las patentes? ¿A qué se debe el inmenso gasto en desarrollo de medicamentos? ¿Por qué se pierden recursos cuando hay un sistema de patentes? ¿Por qué se invierten enormes cantidades de dinero en copiar la invención del otro? ¿Qué es el código abierto en softwares? ¿Es posible que las patentes estén frenando el desarrollo tecnológico? ¿Por qué sin patentes las empresas tienen muchos más incentivos para innovar? ¿Es más ágil sin patentes la incorporación de nuevas empresas en un mercado? ¿Les interesaría a las grandes corporaciones la abolición del sistema de patentes? ¿Le interesa a una gran empresa que se facilite el surgimiento de pequeñas empresas que le hagan competencia? ¿Monopoliza el conocimiento el sistema de patentes?",presentación,
empresa,https://www.youtube.com/watch?v=Tb7zaJG5AZY&ab_channel=HermitixPodcast,"Anarchism, Post-Capitalism and Organization with Kevin Carson",ENG,¿Qué es el que es el socialismo libertario? ¿Qué es el municipalismo? ¿Cómo sería un mundo post-capitalista? ¿Cuál será la forma de las empresas en el futuro? ¿Cómo cambiará la cadena de producción? ¿Cómo ocurrirá el cambio y qué se puede hacer por cambiar el modelo actual? ¿Qué se puede hacer para cambiar el presente sin usar el poder político?,podcast,
